CustomerID,Recency,Frequency,Monetary,R_Rank,R_Score,F_Rank,F_Score,M_Rank,M_Score,RFM_Score,Customer_Segment
12346,326,1,77183.6,158.0,1,1.0,1,4329.0,5,115,06 - Lost/Others (Hilang/Lainnya)
12347,2,7,4310.0,4160.0,5,3639.0,5,4003.0,5,555,01 - Champions (Terbaik)
12348,75,4,1797.24,1642.0,2,2837.0,4,3333.0,4,244,06 - Lost/Others (Hilang/Lainnya)
12349,19,1,1757.55,3151.0,4,2.0,1,3305.0,4,414,06 - Lost/Others (Hilang/Lainnya)
12350,310,1,334.4,228.0,1,3.0,1,1229.0,2,112,05 - At Risk (Berisiko Hilang)
12352,36,8,2506.04,2500.0,3,3782.0,5,3637.0,5,355,02 - Loyal Customers (Setia)
12353,204,1,89.0,727.0,1,4.0,1,116.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12354,232,1,1079.4,600.0,1,5.0,1,2779.0,4,114,06 - Lost/Others (Hilang/Lainnya)
12355,214,1,459.4,671.0,1,6.0,1,1659.0,2,112,05 - At Risk (Berisiko Hilang)
12356,23,3,2811.43,2974.0,4,2329.0,3,3738.0,5,435,06 - Lost/Others (Hilang/Lainnya)
12357,33,1,6207.67,2567.0,3,7.0,1,4137.0,5,315,06 - Lost/Others (Hilang/Lainnya)
12358,2,2,1168.06,4161.0,5,1494.0,2,2871.0,4,524,06 - Lost/Others (Hilang/Lainnya)
12359,58,4,6372.58,2004.0,3,2838.0,4,4144.0,5,345,06 - Lost/Others (Hilang/Lainnya)
12360,52,3,2662.06,2118.0,3,2330.0,3,3695.0,5,335,06 - Lost/Others (Hilang/Lainnya)
12361,287,1,189.9,314.0,1,8.0,1,599.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12362,3,10,5226.23,4071.0,5,3948.0,5,4084.0,5,555,01 - Champions (Terbaik)
12363,110,2,552.0,1286.0,2,1495.0,2,1881.0,3,223,06 - Lost/Others (Hilang/Lainnya)
12364,8,4,1313.1,3757.0,5,2839.0,4,2996.0,4,544,01 - Champions (Terbaik)
12365,291,2,641.38,292.0,1,1496.0,2,2095.0,3,123,06 - Lost/Others (Hilang/Lainnya)
12367,4,1,168.9,3960.0,5,9.0,1,504.0,1,511,03 - New/Promising (Baru/Menjanjikan)
12370,51,4,3545.69,2151.0,3,2840.0,4,3883.0,5,345,06 - Lost/Others (Hilang/Lainnya)
12371,45,2,1887.96,2273.0,3,1497.0,2,3391.0,4,324,06 - Lost/Others (Hilang/Lainnya)
12372,72,3,1298.04,1709.0,2,2331.0,3,2980.0,4,234,04 - Need Attention (Butuh Perhatian)
12373,311,1,364.6,220.0,1,10.0,1,1355.0,2,112,05 - At Risk (Berisiko Hilang)
12374,25,1,742.9300000000001,2875.0,4,11.0,1,2310.0,3,413,06 - Lost/Others (Hilang/Lainnya)
12375,11,2,457.5,3543.0,5,1498.0,2,1651.0,2,522,03 - New/Promising (Baru/Menjanjikan)
12377,315,2,1628.12,202.0,1,1499.0,2,3234.0,4,124,06 - Lost/Others (Hilang/Lainnya)
12378,130,1,4008.62,1154.0,2,12.0,1,3967.0,5,215,06 - Lost/Others (Hilang/Lainnya)
12379,82,2,852.24,1535.0,2,1500.0,2,2483.0,3,223,06 - Lost/Others (Hilang/Lainnya)
12380,22,4,2724.81,3033.0,4,2841.0,4,3709.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12381,5,5,1845.31,3897.0,5,3225.0,4,3367.0,4,544,01 - Champions (Terbaik)
12383,185,5,1850.56,831.0,1,3226.0,4,3368.0,4,144,06 - Lost/Others (Hilang/Lainnya)
12384,29,2,585.27,2732.0,4,1501.0,2,1951.0,3,423,06 - Lost/Others (Hilang/Lainnya)
12386,338,2,401.9,121.0,1,1502.0,2,1489.0,2,122,05 - At Risk (Berisiko Hilang)
12388,16,6,2780.66,3336.0,4,3467.0,4,3725.0,5,445,06 - Lost/Others (Hilang/Lainnya)
12390,80,1,549.84,1565.0,2,13.0,1,1877.0,3,213,06 - Lost/Others (Hilang/Lainnya)
12391,22,1,460.89,3034.0,4,14.0,1,1663.0,2,412,03 - New/Promising (Baru/Menjanjikan)
12393,72,4,1582.6000000000001,1710.0,2,2842.0,4,3201.0,4,244,06 - Lost/Others (Hilang/Lainnya)
12394,64,2,1272.48,1863.0,3,1503.0,2,2962.0,4,324,06 - Lost/Others (Hilang/Lainnya)
12395,19,12,3018.63,3152.0,4,4054.0,5,3787.0,5,455,01 - Champions (Terbaik)
12397,36,2,2409.9,2501.0,3,1504.0,2,3608.0,5,325,06 - Lost/Others (Hilang/Lainnya)
12398,46,1,1635.6599999999999,2247.0,3,15.0,1,3238.0,4,314,06 - Lost/Others (Hilang/Lainnya)
12399,119,4,1108.65,1228.0,2,2843.0,4,2806.0,4,244,06 - Lost/Others (Hilang/Lainnya)
12401,303,1,84.3,255.0,1,16.0,1,108.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12402,323,1,225.6,169.0,1,17.0,1,769.0,1,111,06 - Lost/Others (Hilang/Lainnya)
12403,50,1,427.7,2181.0,3,18.0,1,1574.0,2,312,05 - At Risk (Berisiko Hilang)
